id,titolo,descrizione,categoria,priorita,testo,categoria_prevista,priorita_stimata
152,Problema con accesso al portale,Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Media,Problema con accesso al portale. Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta
153,Richiesta di accesso al portale,Richiesta di informazioni aggiuntive su licenza scaduta.,Amministrativo,Media,Richiesta di accesso al portale. Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Media
154,Assistenza su software gestionale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Media,Assistenza su software gestionale. Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Alta
155,Problema con fattura,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Media,Problema con fattura. Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Alta
156,Richiesta di software gestionale,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Bassa,Richiesta di software gestionale. Il sistema segnala un errore relativo a pagamento.,Amministrativo,Alta
157,Assistenza su stampante,Il sistema segnala un errore relativo a stampante.,Commerciale,Bassa,Assistenza su stampante. Il sistema segnala un errore relativo a stampante.,Commerciale,Alta
158,Verifica di stampante,Richiesta di informazioni aggiuntive su accesso al portale.,Amministrativo,Media,Verifica di stampante. Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Media
159,Richiesta di stampante,Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Alta,Richiesta di stampante. Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Media
160,Aggiornamento su licenza scaduta,È necessaria assistenza per ordine cliente.,Tecnico,Media,Aggiornamento su licenza scaduta. È necessaria assistenza per ordine cliente.,Tecnico,Bassa
161,Aggiornamento su accesso al portale,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta,Aggiornamento su accesso al portale. Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta
162,Domanda su rete aziendale,Richiesta di informazioni aggiuntive su contratto.,Amministrativo,Bassa,Domanda su rete aziendale. Richiesta di informazioni aggiuntive su contratto.,Amministrativo,Media
163,Richiesta di contratto,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Bassa,Richiesta di contratto. Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Media
164,Verifica di rete aziendale,È necessaria assistenza per rete aziendale.,Tecnico,Bassa,Verifica di rete aziendale. È necessaria assistenza per rete aziendale.,Tecnico,Bassa
165,Verifica di email aziendale,È necessaria assistenza per software gestionale.,Commerciale,Bassa,Verifica di email aziendale. È necessaria assistenza per software gestionale.,Amministrativo,Bassa
166,Errore durante fattura,Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Media,Errore durante fattura. Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Alta
167,Assistenza su fattura,È necessaria assistenza per rete aziendale.,Commerciale,Alta,Assistenza su fattura. È necessaria assistenza per rete aziendale.,Commerciale,Bassa
168,Aggiornamento su accesso al portale,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Media,Aggiornamento su accesso al portale. Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Bassa
169,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Bassa,Errore durante pagamento. Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Alta
170,Aggiornamento su accesso al portale,È necessaria assistenza per software gestionale.,Tecnico,Media,Aggiornamento su accesso al portale. È necessaria assistenza per software gestionale.,Tecnico,Bassa
171,Verifica di pagamento,Il sistema segnala un errore relativo a stampante.,Commerciale,Alta,Verifica di pagamento. Il sistema segnala un errore relativo a stampante.,Commerciale,Alta
172,Errore durante licenza scaduta,È necessaria assistenza per accesso al portale.,Commerciale,Bassa,Errore durante licenza scaduta. È necessaria assistenza per accesso al portale.,Commerciale,Alta
173,Segnalazione per stampante,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Bassa,Segnalazione per stampante. Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta
174,Problema con email aziendale,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Media,Problema con email aziendale. Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Alta
175,Problema con software gestionale,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Bassa,Problema con software gestionale. Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Alta
176,Verifica di stampante,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa,Verifica di stampante. Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta
177,Aggiornamento su pagamento,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Bassa,Aggiornamento su pagamento. Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Alta
178,Problema con ordine cliente,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Bassa,Problema con ordine cliente. Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Alta
179,Problema con contratto,È necessaria assistenza per email aziendale.,Commerciale,Media,Problema con contratto. È necessaria assistenza per email aziendale.,Commerciale,Alta
180,Aggiornamento su stampante,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Alta,Aggiornamento su stampante. Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Bassa
181,Errore durante software gestionale,È necessaria assistenza per email aziendale.,Tecnico,Alta,Errore durante software gestionale. È necessaria assistenza per email aziendale.,Amministrativo,Alta
182,Domanda su stampante,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Alta,Domanda su stampante. Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Bassa
183,Problema con fattura,Il sistema segnala un errore relativo a stampante.,Commerciale,Media,Problema con fattura. Il sistema segnala un errore relativo a stampante.,Tecnico,Alta
184,Problema con licenza scaduta,È necessaria assistenza per software gestionale.,Commerciale,Alta,Problema con licenza scaduta. È necessaria assistenza per software gestionale.,Commerciale,Alta
185,Verifica di stampante,È necessaria assistenza per stampante.,Amministrativo,Alta,Verifica di stampante. È necessaria assistenza per stampante.,Amministrativo,Bassa
186,Assistenza su email aziendale,Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta,Assistenza su email aziendale. Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta
187,Problema con fattura,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa,Problema con fattura. Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Alta
188,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Bassa,Errore durante pagamento. Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Alta
189,Assistenza su contratto,Il sistema segnala un errore relativo a software gestionale.,Tecnico,Media,Assistenza su contratto. Il sistema segnala un errore relativo a software gestionale.,Tecnico,Alta
190,Verifica di ordine cliente,Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Alta,Verifica di ordine cliente. Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Media
191,Verifica di email aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Media,Verifica di email aziendale. Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Bassa
192,Domanda su ordine cliente,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa,Domanda su ordine cliente. Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Alta
193,Assistenza su stampante,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa,Assistenza su stampante. Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta
194,Errore durante ordine cliente,È necessaria assistenza per software gestionale.,Tecnico,Bassa,Errore durante ordine cliente. È necessaria assistenza per software gestionale.,Tecnico,Alta
195,Problema con pagamento,È necessaria assistenza per email aziendale.,Amministrativo,Media,Problema con pagamento. È necessaria assistenza per email aziendale.,Amministrativo,Alta
196,Problema con ordine cliente,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Bassa,Problema con ordine cliente. Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Alta
197,Segnalazione per rete aziendale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media,Segnalazione per rete aziendale. Il sistema segnala un errore relativo a software gestionale.,Tecnico,Alta
198,Richiesta di accesso al portale,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa,Richiesta di accesso al portale. Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Media
199,Domanda su ordine cliente,Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Bassa,Domanda su ordine cliente. Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Alta
200,Aggiornamento su stampante,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Media,Aggiornamento su stampante. Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Alta
201,Errore durante rete aziendale,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Media,Errore durante rete aziendale. Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Alta
202,Aggiornamento su rete aziendale,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media,Aggiornamento su rete aziendale. Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media
203,Errore durante contratto,Il sistema segnala un errore relativo a software gestionale.,Tecnico,Bassa,Errore durante contratto. Il sistema segnala un errore relativo a software gestionale.,Tecnico,Alta
204,Segnalazione per stampante,È necessaria assistenza per contratto.,Amministrativo,Bassa,Segnalazione per stampante. È necessaria assistenza per contratto.,Amministrativo,Bassa
205,Assistenza su software gestionale,Richiesta di informazioni aggiuntive su email aziendale.,Tecnico,Media,Assistenza su software gestionale. Richiesta di informazioni aggiuntive su email aziendale.,Tecnico,Media
206,Problema con software gestionale,Bisogna risolvere un malfunzionamento legato a pagamento.,Amministrativo,Media,Problema con software gestionale. Bisogna risolvere un malfunzionamento legato a pagamento.,Amministrativo,Alta
207,Aggiornamento su contratto,Si è verificato un problema durante l'utilizzo di stampante.,Commerciale,Bassa,Aggiornamento su contratto. Si è verificato un problema durante l'utilizzo di stampante.,Commerciale,Alta
208,Errore durante email aziendale,Richiesta di informazioni aggiuntive su accesso al portale.,Amministrativo,Media,Errore durante email aziendale. Richiesta di informazioni aggiuntive su accesso al portale.,Amministrativo,Alta
209,Problema con fattura,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Media,Problema con fattura. Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Alta
210,Assistenza su contratto,Il sistema segnala un errore relativo a fattura.,Tecnico,Media,Assistenza su contratto. Il sistema segnala un errore relativo a fattura.,Tecnico,Alta
211,Aggiornamento su ordine cliente,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Media,Aggiornamento su ordine cliente. Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Bassa
212,Richiesta di rete aziendale,È necessaria assistenza per contratto.,Tecnico,Bassa,Richiesta di rete aziendale. È necessaria assistenza per contratto.,Tecnico,Media
213,Assistenza su rete aziendale,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Tecnico,Alta,Assistenza su rete aziendale. Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Bassa
214,Segnalazione per software gestionale,È necessaria assistenza per accesso al portale.,Amministrativo,Bassa,Segnalazione per software gestionale. È necessaria assistenza per accesso al portale.,Amministrativo,Bassa
215,Problema con rete aziendale,Richiesta di informazioni aggiuntive su ordine cliente.,Amministrativo,Bassa,Problema con rete aziendale. Richiesta di informazioni aggiuntive su ordine cliente.,Amministrativo,Alta
216,Domanda su ordine cliente,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Media,Domanda su ordine cliente. Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Alta
217,Domanda su contratto,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Media,Domanda su contratto. Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Alta
218,Domanda su rete aziendale,È necessaria assistenza per pagamento.,Tecnico,Media,Domanda su rete aziendale. È necessaria assistenza per pagamento.,Tecnico,Bassa
219,Segnalazione per licenza scaduta,È necessaria assistenza per fattura.,Commerciale,Media,Segnalazione per licenza scaduta. È necessaria assistenza per fattura.,Commerciale,Bassa
220,Domanda su fattura,È necessaria assistenza per fattura.,Commerciale,Bassa,Domanda su fattura. È necessaria assistenza per fattura.,Commerciale,Bassa
221,Richiesta di licenza scaduta,Bisogna risolvere un malfunzionamento legato a contratto.,Tecnico,Alta,Richiesta di licenza scaduta. Bisogna risolvere un malfunzionamento legato a contratto.,Tecnico,Media
222,Richiesta di pagamento,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Alta,Richiesta di pagamento. Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta
223,Assistenza su software gestionale,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Bassa,Assistenza su software gestionale. Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Alta
224,Domanda su pagamento,Richiesta di informazioni aggiuntive su software gestionale.,Amministrativo,Alta,Domanda su pagamento. Richiesta di informazioni aggiuntive su software gestionale.,Amministrativo,Media
225,Errore durante contratto,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Alta,Errore durante contratto. Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Alta
226,Problema con software gestionale,Si è verificato un problema durante l'utilizzo di contratto.,Amministrativo,Media,Problema con software gestionale. Si è verificato un problema durante l'utilizzo di contratto.,Amministrativo,Alta
227,Verifica di email aziendale,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media,Verifica di email aziendale. Richiesta di informazioni aggiuntive su email aziendale.,Tecnico,Media
228,Verifica di software gestionale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Alta,Verifica di software gestionale. Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Alta
229,Domanda su email aziendale,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Tecnico,Alta,Domanda su email aziendale. Bisogna risolvere un malfunzionamento legato a accesso al portale.,Tecnico,Bassa
230,Assistenza su stampante,È necessaria assistenza per fattura.,Amministrativo,Bassa,Assistenza su stampante. È necessaria assistenza per fattura.,Amministrativo,Bassa
231,Aggiornamento su fattura,È necessaria assistenza per pagamento.,Tecnico,Alta,Aggiornamento su fattura. È necessaria assistenza per pagamento.,Tecnico,Bassa
232,Assistenza su rete aziendale,Il sistema segnala un errore relativo a pagamento.,Commerciale,Bassa,Assistenza su rete aziendale. Il sistema segnala un errore relativo a pagamento.,Tecnico,Alta
233,Domanda su rete aziendale,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa,Domanda su rete aziendale. Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Media
234,Richiesta di pagamento,È necessaria assistenza per ordine cliente.,Tecnico,Bassa,Richiesta di pagamento. È necessaria assistenza per ordine cliente.,Tecnico,Media
235,Problema con licenza scaduta,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Media,Problema con licenza scaduta. Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta
236,Aggiornamento su rete aziendale,Il sistema segnala un errore relativo a email aziendale.,Commerciale,Media,Aggiornamento su rete aziendale. Il sistema segnala un errore relativo a email aziendale.,Commerciale,Alta
237,Aggiornamento su software gestionale,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Media,Aggiornamento su software gestionale. Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Bassa
238,Verifica di pagamento,È necessaria assistenza per email aziendale.,Amministrativo,Media,Verifica di pagamento. È necessaria assistenza per email aziendale.,Amministrativo,Bassa
239,Errore durante software gestionale,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Bassa,Errore durante software gestionale. Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Alta
240,Verifica di accesso al portale,Richiesta di informazioni aggiuntive su rete aziendale.,Amministrativo,Alta,Verifica di accesso al portale. Richiesta di informazioni aggiuntive su rete aziendale.,Commerciale,Media
241,Assistenza su ordine cliente,Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Alta,Assistenza su ordine cliente. Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Bassa
242,Errore durante accesso al portale,È necessaria assistenza per licenza scaduta.,Tecnico,Media,Errore durante accesso al portale. È necessaria assistenza per licenza scaduta.,Commerciale,Alta
243,Verifica di stampante,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Alta,Verifica di stampante. Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa
244,Segnalazione per licenza scaduta,È necessaria assistenza per licenza scaduta.,Tecnico,Bassa,Segnalazione per licenza scaduta. È necessaria assistenza per licenza scaduta.,Tecnico,Bassa
245,Verifica di fattura,Il sistema segnala un errore relativo a stampante.,Commerciale,Media,Verifica di fattura. Il sistema segnala un errore relativo a stampante.,Commerciale,Alta
246,Domanda su email aziendale,Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Bassa,Domanda su email aziendale. Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Media
247,Aggiornamento su contratto,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Media,Aggiornamento su contratto. Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Alta
248,Domanda su pagamento,Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Bassa,Domanda su pagamento. Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Media
249,Aggiornamento su licenza scaduta,Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Media,Aggiornamento su licenza scaduta. Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Media
250,Aggiornamento su rete aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Media,Aggiornamento su rete aziendale. Bisogna risolvere un malfunzionamento legato a software gestionale.,Commerciale,Bassa
251,Errore durante rete aziendale,Il sistema segnala un errore relativo a fattura.,Tecnico,Media,Errore durante rete aziendale. Il sistema segnala un errore relativo a fattura.,Commerciale,Alta
252,Aggiornamento su pagamento,È necessaria assistenza per software gestionale.,Tecnico,Media,Aggiornamento su pagamento. È necessaria assistenza per software gestionale.,Tecnico,Bassa
253,Richiesta di software gestionale,È necessaria assistenza per fattura.,Tecnico,Media,Richiesta di software gestionale. È necessaria assistenza per fattura.,Tecnico,Media
254,Segnalazione per contratto,È necessaria assistenza per stampante.,Commerciale,Alta,Segnalazione per contratto. È necessaria assistenza per stampante.,Amministrativo,Bassa
255,Errore durante fattura,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Bassa,Errore durante fattura. Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Alta
256,Domanda su stampante,È necessaria assistenza per ordine cliente.,Commerciale,Bassa,Domanda su stampante. È necessaria assistenza per ordine cliente.,Commerciale,Bassa
257,Richiesta di ordine cliente,Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta,Richiesta di ordine cliente. Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta
258,Problema con stampante,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Alta,Problema con stampante. Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Alta
259,Errore durante pagamento,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa,Errore durante pagamento. Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Alta
260,Problema con software gestionale,Si è verificato un problema durante l'utilizzo di pagamento.,Tecnico,Bassa,Problema con software gestionale. Si è verificato un problema durante l'utilizzo di pagamento.,Tecnico,Alta
261,Errore durante ordine cliente,È necessaria assistenza per rete aziendale.,Amministrativo,Bassa,Errore durante ordine cliente. È necessaria assistenza per rete aziendale.,Amministrativo,Alta
262,Aggiornamento su licenza scaduta,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa,Aggiornamento su licenza scaduta. Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Alta
263,Verifica di rete aziendale,Richiesta di informazioni aggiuntive su stampante.,Tecnico,Alta,Verifica di rete aziendale. Richiesta di informazioni aggiuntive su stampante.,Tecnico,Media
264,Problema con ordine cliente,Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta,Problema con ordine cliente. Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta
265,Assistenza su fattura,Il sistema segnala un errore relativo a rete aziendale.,Tecnico,Alta,Assistenza su fattura. Il sistema segnala un errore relativo a rete aziendale.,Tecnico,Alta
266,Richiesta di contratto,Bisogna risolvere un malfunzionamento legato a contratto.,Tecnico,Media,Richiesta di contratto. Bisogna risolvere un malfunzionamento legato a contratto.,Tecnico,Media
267,Aggiornamento su email aziendale,Si è verificato un problema durante l'utilizzo di software gestionale.,Tecnico,Media,Aggiornamento su email aziendale. Si è verificato un problema durante l'utilizzo di software gestionale.,Tecnico,Alta
268,Richiesta di rete aziendale,Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Alta,Richiesta di rete aziendale. Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Media
269,Verifica di software gestionale,Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Bassa,Verifica di software gestionale. Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Media
270,Richiesta di stampante,È necessaria assistenza per ordine cliente.,Tecnico,Bassa,Richiesta di stampante. È necessaria assistenza per ordine cliente.,Tecnico,Media
271,Domanda su ordine cliente,È necessaria assistenza per fattura.,Amministrativo,Alta,Domanda su ordine cliente. È necessaria assistenza per fattura.,Amministrativo,Bassa
272,Domanda su pagamento,È necessaria assistenza per pagamento.,Commerciale,Bassa,Domanda su pagamento. È necessaria assistenza per pagamento.,Commerciale,Bassa
273,Verifica di fattura,Richiesta di informazioni aggiuntive su licenza scaduta.,Amministrativo,Bassa,Verifica di fattura. Richiesta di informazioni aggiuntive su licenza scaduta.,Amministrativo,Media
274,Domanda su contratto,Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Alta,Domanda su contratto. Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Alta
275,Assistenza su contratto,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Alta,Assistenza su contratto. Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Bassa
276,Verifica di email aziendale,Si è verificato un problema durante l'utilizzo di software gestionale.,Commerciale,Media,Verifica di email aziendale. Si è verificato un problema durante l'utilizzo di software gestionale.,Commerciale,Alta
277,Richiesta di licenza scaduta,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Bassa,Richiesta di licenza scaduta. Il sistema segnala un errore relativo a software gestionale.,Commerciale,Alta
278,Assistenza su fattura,Bisogna risolvere un malfunzionamento legato a software gestionale.,Commerciale,Bassa,Assistenza su fattura. Bisogna risolvere un malfunzionamento legato a software gestionale.,Commerciale,Bassa
279,Aggiornamento su stampante,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa,Aggiornamento su stampante. Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Media
280,Segnalazione per stampante,È necessaria assistenza per contratto.,Amministrativo,Alta,Segnalazione per stampante. È necessaria assistenza per contratto.,Amministrativo,Bassa
281,Domanda su contratto,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa,Domanda su contratto. Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Alta
282,Richiesta di ordine cliente,È necessaria assistenza per fattura.,Commerciale,Bassa,Richiesta di ordine cliente. È necessaria assistenza per fattura.,Tecnico,Media
283,Errore durante contratto,Si è verificato un problema durante l'utilizzo di accesso al portale.,Commerciale,Alta,Errore durante contratto. Si è verificato un problema durante l'utilizzo di accesso al portale.,Commerciale,Alta
284,Verifica di contratto,Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta,Verifica di contratto. Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta
285,Aggiornamento su ordine cliente,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Bassa,Aggiornamento su ordine cliente. Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Media
286,Verifica di fattura,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Bassa,Verifica di fattura. Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media
287,Aggiornamento su fattura,Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Media,Aggiornamento su fattura. Bisogna risolvere un malfunzionamento legato a stampante.,Commerciale,Bassa
288,Errore durante pagamento,Richiesta di informazioni aggiuntive su stampante.,Commerciale,Bassa,Errore durante pagamento. Richiesta di informazioni aggiuntive su stampante.,Commerciale,Alta
289,Aggiornamento su stampante,Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Media,Aggiornamento su stampante. Richiesta di informazioni aggiuntive su stampante.,Amministrativo,Media
290,Aggiornamento su fattura,È necessaria assistenza per pagamento.,Commerciale,Media,Aggiornamento su fattura. È necessaria assistenza per pagamento.,Tecnico,Bassa
291,Problema con accesso al portale,Si è verificato un problema durante l'utilizzo di rete aziendale.,Tecnico,Media,Problema con accesso al portale. Si è verificato un problema durante l'utilizzo di rete aziendale.,Tecnico,Alta
292,Segnalazione per pagamento,Si è verificato un problema durante l'utilizzo di software gestionale.,Amministrativo,Bassa,Segnalazione per pagamento. Si è verificato un problema durante l'utilizzo di software gestionale.,Amministrativo,Alta
293,Domanda su rete aziendale,Si è verificato un problema durante l'utilizzo di pagamento.,Amministrativo,Alta,Domanda su rete aziendale. Si è verificato un problema durante l'utilizzo di pagamento.,Amministrativo,Alta
294,Verifica di pagamento,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Media,Verifica di pagamento. Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Alta
295,Verifica di licenza scaduta,Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Bassa,Verifica di licenza scaduta. Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Alta
296,Domanda su fattura,È necessaria assistenza per accesso al portale.,Commerciale,Alta,Domanda su fattura. È necessaria assistenza per accesso al portale.,Commerciale,Bassa
297,Richiesta di accesso al portale,Si è verificato un problema durante l'utilizzo di email aziendale.,Commerciale,Alta,Richiesta di accesso al portale. Si è verificato un problema durante l'utilizzo di email aziendale.,Commerciale,Alta
298,Richiesta di accesso al portale,Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta,Richiesta di accesso al portale. Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Alta
299,Richiesta di accesso al portale,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Media,Richiesta di accesso al portale. Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Media
300,Verifica di contratto,Bisogna risolvere un malfunzionamento legato a email aziendale.,Amministrativo,Media,Verifica di contratto. Bisogna risolvere un malfunzionamento legato a email aziendale.,Amministrativo,Bassa
